   ,methodName, Error, time
1, sendPakege, name 'Machine' is not defined, 10/06/2022 16:40:48
2, main, name 'Machine' is not defined, 10/06/2022 16:40:48
3, sendPakege, name 'Machine' is not defined, 10/06/2022 16:41:33
4, main, name 'Machine' is not defined, 10/06/2022 16:41:33
5, sendPakege, name 'Machine' is not defined, 10/06/2022 16:43:06
6, main, name 'Machine' is not defined, 10/06/2022 16:43:06
7, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
8, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
9, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
10, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
11, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
12, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
13, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
14, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
15, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
16, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
17, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
18, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
19, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
20, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
21, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
22, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
23, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
24, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
25, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
26, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
27, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
28, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
29, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
30, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
31, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
32, recive, [WinError 10054] An existing connection was forcibly closed by the remote host, 10/18/2022 15:32:29
